Región / CUT Comuna ; Nombre Comuna / ACT;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Región de Tarapacá;;3.625.196;3.960.751;4.057.865;4.965.369;5.030.948;5.336.401;6.241.810;6.490.654;7.839.588;10.777.835;12.738.036;13.775.210;14.610.379;15.557.289;14.466.152;12.329.949;11.848.396;14.175.215;16.290.283;;9,30%;2,50%;22,40%;1,30%;6,10%;17,00%;4,00%;20,80%;37,50%;18,20%;8,10%;6,10%;6,50%;-7,00%;-14,80%;-3,90%;19,60%;14,90%
1101;Iquique;3.498.836;3.831.622;3.947.261;4.858.741;4.828.127;5.205.630;5.848.072;6.015.605;7.350.253;10.311.704;11.921.635;12.386.273;12.665.898;14.295.606;13.135.677;11.014.232;10.037.431;11.794.460;12.982.713;;9,50%;3,00%;23,10%;-0,60%;7,80%;12,30%;2,90%;22,20%;40,30%;15,60%;3,90%;2,30%;12,90%;-8,10%;-16,20%;-8,90%;17,50%;10,10%
;Alojamiento turístico;326.495;325.983;378.884;434.652;411.323;460.990;617.621;651.209;631.274;1.465.515;504.520;605.736;649.266;597.539;958.237;1.028.037;1.548.213;1.903.995;2.840.784;;-0,20%;16,20%;14,70%;-5,40%;12,10%;34,00%;5,40%;-3,10%;132,20%;-65,60%;20,10%;7,20%;-8,00%;60,40%;7,30%;50,60%;23,00%;49,20%
;Actividades de provisión de alimentos y bebidas;666.876;829.659;875.280;929.165;1.027.244;1.084.570;1.279.715;1.374.040;1.501.658;1.684.026;2.206.270;2.337.959;2.246.440;2.450.969;2.572.218;1.389.422;2.520.024;3.191.086;3.239.109;;24,40%;5,50%;6,20%;10,60%;5,60%;18,00%;7,40%;9,30%;12,10%;31,00%;6,00%;-3,90%;9,10%;4,90%;-46,00%;81,40%;26,60%;1,50%
;Transporte de pasajeros por ferrocarril;0;0;0;0;*;*;*;*;*;*;0;*;*;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por carretera;228.379;257.096;409.167;360.986;366.669;515.467;768.183;1.133.823;1.184.175;1.773.585;1.563.603;1.176.226;1.121.576;1.388.908;1.457.284;1.235.212;1.388.612;1.081.575;1.599.461;;12,60%;59,10%;-11,80%;1,60%;40,60%;49,00%;47,60%;4,40%;49,80%;-11,80%;-24,80%;-4,60%;23,80%;4,90%;-15,20%;12,40%;-22,10%;47,90%
;Transporte de pasajeros por agua;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Transporte aéreo de pasajeros;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Alquiler de equipos de transporte;50.258;47.482;20.015;27.830;100.625;60.930;111.377;73.827;60.180;57.790;393.009;308.303;373.414;250.393;176.847;261.187;222.394;250.991;235.847;;-5,50%;-57,80%;39,00%;261,60%;-39,40%;82,80%;-33,70%;-18,50%;-4,00%;580,10%;-21,60%;21,10%;-32,90%;-29,40%;47,70%;-14,90%;12,90%;-6,00%
;Actividades de agencias de viajes y de otros servicios de reservas;43.436;101.717;49.147;81.257;18.231;15.580;18.372;33.504;80.638;146.795;59.372;97.106;84.214;44.061;49.906;14.736;21.839;35.286;45.468;;134,20%;-51,70%;65,30%;-77,60%;-14,50%;17,90%;82,40%;140,70%;82,00%;-59,60%;63,60%;-13,30%;-47,70%;13,30%;-70,50%;48,20%;61,60%;28,90%
;Actividades culturales;*;*;*;*;22.065;14.785;10.290;0;17.841;28.129;43.076;43.462;184.074;188.615;66.048;76.301;43.320;88.508;253.599;;;;;;-33,00%;-30,40%;-100,00%;;57,70%;53,10%;0,90%;323,50%;2,50%;-65,00%;15,50%;-43,20%;104,30%;186,50%
;Actividades deportivas y recreativas;0;0;0;0;1.827;3.888;21.834;45.449;64.449;17.121;45.797;77.267;99.166;214.173;219.150;223.666;73.791;111.414;92.465;;;;;;112,80%;461,50%;108,20%;41,80%;-73,40%;167,50%;68,70%;28,30%;116,00%;2,30%;2,10%;-67,00%;51,00%;-17,00%
;Comercio al por menor de bienes característicos del turismo;2.408;4.643;2.862;13.356;14.236;20.174;24.349;25.197;17.797;14.842;19.917;35.467;32.371;29.576;18.187;6.499;26.028;27.825;14.337;;92,80%;-38,30%;366,60%;6,60%;41,70%;20,70%;3,50%;-29,40%;-16,60%;34,20%;78,10%;-8,70%;-8,60%;-38,50%;-64,30%;300,50%;6,90%;-48,50%
;Actividades relacionadas con segundos hogares y multipropiedades;2.180.983;2.265.043;2.211.907;3.011.494;2.865.906;3.029.245;2.996.330;2.678.555;3.792.241;5.123.901;7.086.071;7.704.748;7.875.377;9.131.373;7.617.800;6.779.171;4.193.209;5.103.780;4.661.645;;3,90%;-2,30%;36,10%;-4,80%;5,70%;-1,10%;-10,60%;41,60%;35,10%;38,30%;8,70%;2,20%;15,90%;-16,60%;-11,00%;-38,10%;21,70%;-8,70%
1107;Alto Hospicio;26.112;29.139;45.063;55.275;64.050;77.029;130.939;173.614;216.395;237.352;623.476;1.250.192;1.743.087;897.428;764.220;814.454;1.314.875;1.575.757;2.180.523;;11,60%;54,70%;22,70%;15,90%;20,30%;70,00%;32,60%;24,60%;9,70%;162,70%;100,50%;39,40%;-48,50%;-14,80%;6,60%;61,40%;19,80%;38,40%
;Alojamiento turístico;0;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;0;0;;;;;;;;;;;;;;;;;;;
;Actividades de provisión de alimentos y bebidas;14.671;17.626;24.463;26.531;21.593;26.719;48.535;67.568;78.309;86.114;125.607;503.428;551.137;218.950;229.386;195.734;255.218;256.902;339.042;;20,10%;38,80%;8,50%;-18,60%;23,70%;81,60%;39,20%;15,90%;10,00%;45,90%;300,80%;9,50%;-60,30%;4,80%;-14,70%;30,40%;0,70%;32,00%
;Transporte de pasajeros por ferrocarril;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por carretera;11.441;11.513;20.600;28.745;42.457;50.310;82.404;106.046;118.709;125.949;169.291;319.110;447.728;282.575;293.697;393.454;540.954;871.338;1.125.303;;0,60%;78,90%;39,50%;47,70%;18,50%;63,80%;28,70%;11,90%;6,10%;34,40%;88,50%;40,30%;-36,90%;3,90%;34,00%;37,50%;61,10%;29,10%
;Transporte de pasajeros por agua;0;0;0;0;0;*;0;0;0;0;0;0;0;0;*;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte aéreo de pasajeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;*;;;;;;;;;;;;;;;;;;;
;Alquiler de equipos de transporte;0;*;0;*;*;*;*;*;*;*;63.258;83.509;76.255;8.204;21.242;18.756;40.339;49.921;57.129;;;;;;;;;;;;32,00%;-8,70%;-89,20%;158,90%;-11,70%;115,10%;23,80%;14,40%
;Actividades de agencias de viajes y de otros servicios de reservas;0;0;0;0;0;0;0;0;0;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades culturales;*;*;*;*;*;*;*;*;*;*;*;*;*;2.920;0;0;0;0;0;;;;;;;;;;;;;;;-100,00%;;;;
;Actividades deportivas y recreativas;*;*;*;*;*;*;*;*;*;*;23.063;20.039;20.015;6.574;6.253;4.208;0;1.512;6.421;;;;;;;;;;;;-13,10%;-0,10%;-67,20%;-4,90%;-32,70%;-100,00%;;324,60%
;Comercio al por menor de bienes característicos del turismo;*;*;*;*;*;*;*;*;*;*;*;*;*;1.822;*;*;*;681;1.454;;;;;;;;;;;;;;;;;;;113,50%
;Actividades relacionadas con segundos hogares y multipropiedades;*;*;*;*;*;0;0;0;19.377;25.289;242.256;324.106;647.953;376.384;213.643;202.302;478.364;395.403;651.174;;;;;;;;;;30,50%;858,00%;33,80%;99,90%;-41,90%;-43,20%;-5,30%;136,50%;-17,30%;64,70%
1401;Pozo Almonte;100.249;89.997;61.709;46.349;123.123;36.877;234.219;283.908;254.705;202.933;159.825;100.094;134.785;275.989;454.246;424.367;410.677;668.535;799.682;;-10,20%;-31,40%;-24,90%;165,60%;-70,00%;535,10%;21,20%;-10,30%;-20,30%;-21,20%;-37,40%;34,70%;104,80%;64,60%;-6,60%;-3,20%;62,80%;19,60%
;Alojamiento turístico;0;0;0;0;92.086;0;179.715;214.444;191.241;145.150;59.090;15.415;13.044;99.673;169.512;168.288;229.352;399.628;611.523;;;;;;-100,00%;;19,30%;-10,80%;-24,10%;-59,30%;-73,90%;-15,40%;664,10%;70,10%;-0,70%;36,30%;74,20%;53,00%
;Actividades de provisión de alimentos y bebidas;73.767;71.638;46.573;38.761;28.221;35.616;54.504;69.464;63.464;57.783;100.735;84.679;113.523;174.247;275.698;241.657;172.494;256.434;186.905;;-2,90%;-35,00%;-16,80%;-27,20%;26,20%;53,00%;27,40%;-8,60%;-9,00%;74,30%;-15,90%;34,10%;53,50%;58,20%;-12,30%;-28,60%;48,70%;-27,10%
;Transporte de pasajeros por ferrocarril;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por carretera;26.481;18.359;15.136;7.587;2.816;1.260;0;0;0;0;0;0;5.359;0;7.159;13.236;7.234;11.444;0;;-30,70%;-17,60%;-49,90%;-62,90%;-55,30%;-100,00%;;;;;;;-100,00%;;84,90%;-45,30%;58,20%;-100,00%
;Transporte de pasajeros por agua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte aéreo de pasajeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Alquiler de equipos de transporte;*;*;*;0;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades de agencias de viajes y de otros servicios de reservas;0;0;0;*;0;0;0;0;0;0;*;*;*;0;*;0;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades culturales;0;0;0;0;0;0;0;0;0;0;0;0;0;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades deportivas y recreativas;0;0;0;0;0;*;*;*;0;0;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Comercio al por menor de bienes característicos del turismo;*;*;*;*;*;*;*;*;*;*;*;*;2.859;2.070;1.876;1.186;1.599;1.029;1.254;;;;;;;;;;;;;;-27,60%;-9,40%;-36,80%;34,80%;-35,60%;21,90%
;Actividades relacionadas con segundos hogares y multipropiedades;*;*;*;*;*;*;*;*;*;*;0;0;0;0;*;0;0;0;0;;;;;;;;;;;;;;;;;;;
1402;Camiña;*;*;*;*;*;*;*;*;*;*;0;0;*;0;*;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Alojamiento turístico;0;0;0;*;*;*;*;*;*;*;*;*;*;*;0;*;*;0;*;;;;;;;;;;;;;;;;;;;
;Actividades de provisión de alimentos y bebidas;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por ferrocarril;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por carretera;0;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por agua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte aéreo de pasajeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Alquiler de equipos de transporte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Actividades de agencias de viajes y de otros servicios de reservas;0;0;0;0;0;0;0;0;0;0;0;0;0;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades culturales;0;0;0;0;0;0;0;0;0;0;0;0;0;*;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Actividades deportivas y recreativas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Comercio al por menor de bienes característicos del turismo;0;0;0;0;0;0;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades relacionadas con segundos hogares y multipropiedades;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
1403;Colchane;*;*;*;*;*;*;*;*;*;*;*;*;*;0;0;*;0;0;0;;;;;;;;;;;;;;;;;;;
