Marca temporal;  ¿Cuál es su edad?  ;¿Con qué género se identifica usted?  ;  ¿En qué comuna reside actualmente?  ;  Alojamiento y estadía  ;Responda esta pregunta solo si en la anterior seleccionó “Sí”.  ;¿Qué tipo de alojamiento utilizó?  ;Transporte: $  ;Alojamiento: $  ;Alimentación: $  ;Compras (vino, recuerdos, artesanías): $  ;Seguridad ;Limpieza  ;Comodidad  ;Programación artística  ;Acceso a baños  ;"¿Estás de acuerdo con la afirmación: ""La Vendimia refuerza la identidad cultural de San Fernando""? "
05-02-2025 20:27;54;;San Fernando;No;0;Casa propia ;4000;0;10000;10000;5;5;5;1;1;5
05-02-2025 20:27;48;;San Fernando;No;0;Casa de amigos o familiares;0;0;5000;0;5;5;5;5;5;5
05-02-2025 20:31;23;;San Fernando;No;0;Casa propia ;4000;0;25000;15000;5;5;3;5;1;5
05-02-2025 20:31;22;;San Fernando;No;0;Casa de amigos o familiares;0;0;0;0;4;5;4;5;2;5
05-02-2025 20:32;32;;San Fernando;No;0;Casa de amigos o familiares;0;0;0;0;5;5;5;3;5;5
05-02-2025 20:34;25;;Santa Cruz;Sí;3;Casa de amigos o familiares;65000;0;20000;45000;5;5;5;3;1;5
05-02-2025 20:34;20;;San Fernando;No;0;Casa de amigos o familiares;0;0;220000;0;5;5;5;4;5;5
05-02-2025 20:34;41;;San Fernando;No;0;Casa de amigos o familiares;0;0;20000;20000;5;5;5;3;4;5
05-02-2025 20:36;42;;San Fernando;No;0;Casa de amigos o familiares;2000;0;20000;15000;5;4;4;3;2;2
05-02-2025 20:38;68;;San Fernando;No;0;Casa de amigos o familiares;0;0;15000;5000;5;5;5;3;4;5
05-02-2025 20:38;65;;Rengo;No;0;Viaje;25000;0;45000;54000;5;5;5;2;2;5
05-02-2025 20:40;30;;Placilla;No;0;Viene por el dia;3000;0;10000;38000;5;3;4;4;3;5
05-02-2025 20:42;27;;Santiago;No;0;Casa de amigos o familiares;6000;0;15000;10000;3;3;5;4;4;5
05-02-2025 20:43;39;;Rancagua ;Sí;1;Casa de amigos o familiares;8000;0;15000;13000;5;5;1;4;4;5
05-02-2025 20:43;23;;Santiago ;Sí;3;Casa de amigos o familiares;15000;0;20000;20000;5;5;4;4;1;5
05-02-2025 20:45;38;;San Fernando;No;0;Casa propia ;0;0;15000;13000;4;5;5;1;1;5
05-02-2025 20:50;21;;San Fernando;No;0;Casa de amigos o familiares;1000;0;30000;10000;3;5;3;5;5;5
05-02-2025 20:51;30;;San Fernando;No;0;Casa de amigos o familiares;2000;0;10000;0;5;5;1;1;3;1
05-02-2025 20:52;19;;San Fernando;No;0;Casa propia ;1000;0;20000;20000;5;5;5;2;4;5
05-02-2025 20:58;46;;San Fernando;No;0;Casa propia ;4000;0;20000;30000;5;5;5;4;5;5
05-02-2025 20:59;54;;Lo barnechea;Sí;6;Cabaña/Airbnb;50000;300000;120000;50000;5;1;4;3;5;5
